ingredient,calcium,potassium,fat,vitamin_c,vitamin_b1,vitamin_b2,iron,sodium,vitamin_a,protein,calories,carbs,fiber
ใบคึ่นฉ่าย,46.0,265.0,0.16,3.1,0.021,0.057,0.0,97.0,22.0,0.49,17.0,3.32,1.6
ใบคึ่นช่าย,46.0,265.0,0.16,3.1,0.021,0.057,0.0,97.0,22.0,0.49,17.0,3.32,1.6
ต้นคึ่นช่าย,46.0,265.0,0.16,3.1,0.021,0.057,0.0,97.0,22.0,0.49,17.0,3.32,1.6
ต้นคื่นฉ่าย,46.0,265.0,0.16,3.1,0.021,0.057,0.0,97.0,22.0,0.49,17.0,3.32,1.6
ถั่วงอก,13.0,149.0,0.18,13.2,0.084,0.124,0.91,6.0,1.0,3.04,30.0,5.94,1.8
สายบัว,45.0,556.0,0.1,44.0,0.16,0.22,1.16,40.0,0.0,2.6,74.0,17.2,4.9
ยอดแค,35.0,263.0,0.26,28.7,0.05,0.074,0.26,53.0,206.0,1.19,30.0,5.83,2.0
ดอกกุ๊ยช่ายหั่นละเอียดด,92.0,296.0,0.73,58.1,0.078,0.115,1.6,3.0,218.0,3.27,30.0,4.35,2.5
ขี้เหล็กต้มคั้นน้ำแล้ว,25.0,169.0,0.15,3.2,0.071,0.12,0.82,35.0,214.0,2.86,65.0,13.1,4.4
ผักกาดดองหั่น,21.0,219.0,0.21,40.7,0.037,0.073,0.22,983.0,194.0,0.94,46.0,10.18,1.6
มะนาว,14.0,117.0,0.07,30.0,0.025,0.015,0.09,2.0,2.0,0.42,25.0,8.42,0.4
มะเขือเทศ,10.0,237.0,0.2,13.7,0.037,0.019,0.27,5.0,42.0,0.88,18.0,3.89,1.2
มะเขือเทศสุกขนาดกลาง,10.0,237.0,0.2,13.7,0.037,0.019,0.27,5.0,42.0,0.88,18.0,3.89,1.2
มะเขือเทศผลใหญ่,10.0,237.0,0.2,13.7,0.037,0.019,0.27,5.0,42.0,0.88,18.0,3.89,1.2
มะเขือเทศขนาดกลาง,10.0,237.0,0.2,13.7,0.037,0.019,0.27,5.0,42.0,0.88,18.0,3.89,1.2
มะเขือเทศขวด,10.0,237.0,0.2,13.7,0.037,0.019,0.27,5.0,42.0,0.88,18.0,3.89,1.2
มะเขือเปราะ,9.0,229.0,0.18,2.2,0.039,0.037,0.23,2.0,1.0,0.98,25.0,5.88,3.0
มะเขือยาว,9.0,229.0,0.18,2.2,0.039,0.037,0.23,2.0,1.0,0.98,25.0,5.88,3.0
มะเขือขาว,9.0,229.0,0.18,2.2,0.039,0.037,0.23,2.0,1.0,0.98,25.0,5.88,3.0
มะเขืออ่อน,9.0,229.0,0.18,2.2,0.039,0.037,0.23,2.0,1.0,0.98,25.0,5.88,3.0
มะอึก,9.0,229.0,0.18,2.2,0.039,0.037,0.23,2.0,1.0,0.98,25.0,5.88,3.0
แตงกวา,16.0,147.0,0.11,2.8,0.027,0.033,0.28,2.0,5.0,0.65,15.0,3.63,0.5
