ingredient_id,recipe_id,component_group,ingredient_name,nutrition_name,quantity,unit,grams_approx
244,21,ส่วนผสมหลัก,แตงกวา,แตงกวา,1,ผล,
245,21,ส่วนผสมหลัก,หัวผักกาดขาว,หัวผักกาดขาว,1/2,หัว,15.0
246,21,ส่วนผสมหลัก,ผักกาดหอม,ผักกาดหอม,3,ใบ,
247,21,ส่วนผสมหลัก,ใบคึ่นฉ่าย,ใบคึ่นฉ่าย,2,ต้น,
248,21,ส่วนผสมหลัก,มะเฟืองสุก,มะเฟืองสุก,1,ผล,
249,21,ส่วนผสมหลัก,สับปะรด,สับปะรด,1/4,ผล,
250,21,ส่วนผสมหลัก,ต้นหอม,ต้นหอม,2,ต้น,
251,21,ส่วนผสมหลัก,หัวผักกาดเค็ม,หัวผักกาดเค็ม,2,ช้อนโต๊ะ,30.0
252,21,ส่วนผสมหลัก,งาขาวคั่ว,งาขาวคั่ว,1,ช้อนชา,5.0
253,22,ส่วนผสมหลัก,ไก่ครึ่งตัว,ไก่ครึ่งตัว,500,กรัม,500.0
254,22,ส่วนผสมหลัก,ฟัก (ลูกยาวประมาณ 15 เซนติเมตร),ฟัก,1,ท่อน,
255,22,ส่วนผสมหลัก,ถั่วกระป๋อง,ถั่วกระป๋อง,3,ช้อนโต๊ะ,45.0
256,22,ส่วนผสมหลัก,หัวแครอท (หั่นสี่เหลี่ยมลูกบาศก์ 1 เซนติเมตร),หัวแครอท,3,ช้อนโต๊ะ,45.0
257,22,ส่วนผสมหลัก,กระเทียม,กระเทียม,3,กลีบ,6.0
258,22,ส่วนผสมหลัก,แป้งสาลี,แป้งสาลี,2,ช้อนโต๊ะ,16.0
259,22,ส่วนผสมหลัก,พริกไทย,พริกไทย,5,เม็ด,0.25
260,22,ส่วนผสมหลัก,น้ำเคยดี,น้ำเคยดี,1,ช้อนโต๊ะ,15.0
261,22,ส่วนผสมหลัก,น้ำตาล,น้ำตาล,1/2,ช้อนชา,2.5
